white_pawns,white_rooks,white_knights,white_bishops,white_queens,white_kings,black_pawns,black_rooks,black_knights,black_bishops,black_queens,black_kings,turn,score
13700864,2,524288,0,0,32,45208069843451904,144115188344291328,288230376151711744,4611686018427387904,0,576460752303423488,1,-782.0000000000000000
34896678400,258,68719476740,4194312,134217728,16,86697591361765376,0,2305843009213693953,36591746972385280,0,576460752303423488,0,1902.0000000000000000
13733376,258,524288,0,0,8192,45208069843451904,162129586585337856,288230376151711744,4611686018427387904,0,576460752303423488,1,-257.0000000000000000
5369281024,144115188075855874,4,131136,32,16,125678577101307904,1,-8935141660703064064,4611686018427388032,2305843009213693952,1152921504606846976,1,212.0000000000000000
1342673920,258,4,2147483656,72057594037927936,2048,1804298581180416,144115188075855872,0,612489549322387456,0,2251799813685248,1,1808.0000000000000000
2251800350625280,258,68719476740,4194312,134217728,16,86697591361765376,0,2305843009213693953,36591746972385280,0,576460752303423488,1,1891.0000000000000000
9547264,258,268959744,549756076032,32,16,47173446878101504,144115188075855873,288230376151711744,4611690416473899008,2305843009213693952,1152921504606846976,1,365.0000000000000000
275993664000,258,132,72,32,16,86874647093575680,144115188075855873,-8935141660703064064,4611703610613432320,2305843009213693952,1152921504606846976,1,-56.0000000000000000
1342673920,258,4,34359738368,0,2048,1803201217036288,144115188075855872,0,576742227280134144,0,2251799813685248,0,635.0000000000000000
70369553747456,258,16777220,72,4096,16,122726422740467712,4398046511105,-8935141660703064064,5188146770730811392,18014398509481984,1152921504606846976,1,48.0000000000000000
1074305536,562949953421312,67108864,131072,0,4194304,3588805953060864,72057594037927936,288230376420147200,274886295552,0,4503599627370496,0,-617.0000000000000000
4399120618496,258,4,34359738368,0,2048,1803201217036288,144115188075855872,0,576742227280134144,0,2251799813685248,1,603.0000000000000000
8457472,33554432,0,0,1152921504606846976,8192,36170256061825024,0,0,0,0,288230376151711744,1,1508.0000000000000000
8457472,8589934592,0,0,1152921504606846976,8192,36170256061825024,0,0,0,0,1125899906842624,1,1657.0000000000000000
1074305536,562949953429504,67108864,131072,0,1048576,3588805953060864,72057594037927936,288230378299195392,36028801313931264,0,4503599627370496,1,109.0000000000000000
1074305536,562949953421314,67108864,131072,0,1048576,44121202599395328,72057594037927936,288230378299195392,4611686022722355200,2305843009213693952,576460752303423488,1,-983.0000000000000000
9506048,33554432,0,0,0,8192,36258079553093632,0,1152921504606846976,35184372088832,0,4398046511104,1,-190.0000000000000000
8457472,33554432,0,0,9007199254740992,8192,36170256061825024,0,1152921504606846976,0,0,1125899906842624,1,1156.0000000000000000
9506048,8589934592,0,0,0,8192,36258079553093632,0,1152921504606846976,35184372088832,0,1125899906842624,1,-180.0000000000000000
17593260282880,258,4,34359738368,0,2048,1803201217036288,144115188075855872,0,576742227280134144,0,2251799813685248,1,670.0000000000000000
13733376,258,524288,0,0,8192,45208069843451904,144115462953762816,288230376151711744,4611686018427387904,0,576460752303423488,0,-292.0000000000000000
130560,258,2199023255680,35184380477440,32,16,4638285678604451840,288230376151711745,-9223372036854775808,576460752303423488,2305843009213693952,9007199254740992,0,773.0000000000000000
