white_pawns,white_rooks,white_knights,white_bishops,white_queens,white_kings,black_pawns,black_rooks,black_knights,black_bishops,black_queens,black_kings,turn,score
277531136,258,2147483652,72,32,16,107664178591825920,144115188075855873,8796093022208,612489549322387456,2305843009213693952,1152921504606846976,0,0.0000000000000000
277531136,258,2147483652,8200,32,16,107664178591825920,144115188075855873,8796093022208,612489549322387456,2305843009213693952,1152921504606846976,1,0.0000000000000000
277531136,258,2147483652,8200,32,16,103178171150499840,144115188075855873,8796093022208,612489549322387456,2305843009213693952,1152921504606846976,0,1.0000000000000000
277531136,258,2147483652,549755822080,32,16,103178171150499840,144115188075855873,8796093022208,612489549322387456,2305843009213693952,1152921504606846976,1,1.0000000000000000
277531136,258,2147483652,549755822080,32,16,103178171150499840,144115188075855873,8796093022208,36029071896870912,2305843009213693952,1152921504606846976,0,1.0000000000000000
277531136,258,2147483652,549760008192,32,16,103178171150499840,144115188075855873,8796093022208,36029071896870912,2305843009213693952,1152921504606846976,1,1.0000000000000000
277531136,258,2147483652,549760008192,32,16,103178171150499840,144115188075855873,8796093022208,4611686293305294848,2305843009213693952,1152921504606846976,0,1.0000000000000000
277531136,258,2147483652,6291456,32,16,103178171150499840,144115188075855873,8796093022208,4611686293305294848,2305843009213693952,1152921504606846976,1,0.0000000000000000
277531136,258,2147483652,6291456,32,16,94170971895758848,144115188075855873,8796093022208,9007474132647936,2305843009213693952,1152921504606846976,0,0.0000000000000000
277531136,258,2147487744,6291456,32,16,94170971895758848,144115188075855873,8796093022208,9007474132647936,2305843009213693952,1152921504606846976,1,1.0000000000000000
277531136,258,2147487744,6291456,32,16,94170971895758848,144115188075855873,8796093022208,13510798882111488,2305843009213693952,1152921504606846976,0,1.0000000000000000
68728572416,258,2147487744,6291456,32,16,94170971895758848,144115188075855873,8796093022208,13510798882111488,2305843009213693952,1152921504606846976,1,1.0000000000000000
68728572416,258,2147487744,6291456,32,16,94170971895758848,144115188075855873,17179869184,13510798882111488,2305843009213693952,1152921504606846976,0,1.0000000000000000
68728572416,258,2684354560,6291456,32,16,94170971895758848,144115188075855873,17179869184,13510798882111488,2305843009213693952,1152921504606846976,1,1.0000000000000000
68728441344,258,2684354560,6291456,32,16,94170971895758848,144115188075855873,131072,13510798882111488,2305843009213693952,1152921504606846976,0,1.0000000000000000
68728441344,258,2684354560,6291456,32,8,94170971895758848,144115188075855873,131072,13510798882111488,2305843009213693952,1152921504606846976,1,1.0000000000000000
68728441344,258,2684354560,6291456,32,8,94170971895758848,144115188075855873,17179869184,13510798882111488,2305843009213693952,1152921504606846976,0,1.0000000000000000
68728441344,258,805306368,6291456,32,8,94170971895758848,144115188075855873,17179869184,13510798882111488,2305843009213693952,1152921504606846976,1,1.0000000000000000
68728441344,258,805306368,6291456,32,8,94170971895758848,144115188075855873,131072,13510798882111488,2305843009213693952,1152921504606846976,0,1.0000000000000000
68729487872,258,805306368,6291456,32,8,94170971895758848,144115188075855873,131072,13510798882111488,2305843009213693952,1152921504606846976,1,1.0000000000000000
68729487872,258,805306368,6291456,32,8,94170971895758848,144115188075855873,131072,9007216434610176,2305843009213693952,1152921504606846976,0,1.0000000000000000
68729487872,258,805306368,6291456,4096,8,94170971895758848,144115188075855873,131072,9007216434610176,2305843009213693952,1152921504606846976,1,1.0000000000000000
68729487872,258,805306368,6291456,4096,8,94170971895758848,144115188075855873,131072,9007233614479360,2305843009213693952,1152921504606846976,0,0.0000000000000000
68997906944,258,536870912,6291456,4096,8,94170971895758848,144115188075855873,131072,9007233614479360,2305843009213693952,1152921504606846976,1,0.0000000000000000
68997906944,258,536870912,6291456,4096,8,94170971895758848,144115188075855873,131072,9007216434610176,2305843009213693952,1152921504606846976,0,1.0000000000000000
68997906944,258,536870912,2149580800,4096,8,94170971895758848,144115188075855873,131072,9007216434610176,2305843009213693952,1152921504606846976,1,1.0000000000000000
68997906944,258,536870912,2149580800,4096,8,22394852834541568,144115188075855873,131072,9007216434610176,2305843009213693952,1152921504606846976,0,1.0000000000000000
68997906944,258,536870912,281477124194304,4096,8,22113377857830912,144115188075855873,131072,9007216434610176,2305843009213693952,1152921504606846976,1,1.0000000000000000
68997906944,258,536870912,281477124194304,4096,8,4169348092526592,144115188075855873,131072,9007216434610176,2305843009213693952,1152921504606846976,0,1.0000000000000000
68997906944,258,70368744177664,281477124194304,4096,8,4098979348348928,144115188075855873,131072,9007216434610176,2305843009213693952,1152921504606846976,1,1.0000000000000000
68997906944,258,70368744177664,2147483648,4096,8,4098979348348928,144396663052566528,131072,9007216434610176,2305843009213693952,1152921504606846976,0,1.0000000000000000
68997906944,258,70368744177664,2147483648,281474976710656,8,4098979348348928,144115188075855872,131072,9007216434610176,2305843009213693952,1152921504606846976,1,0.0000000000000000
68997906944,258,70368744177664,2147483648,281474976710656,8,4098979348348928,144115188075855872,131072,9007216434610176,33554432,1152921504606846976,0,0.0000000000000000
